,fkey,name,desc,note,href,lat,lon,pkey
0,8,Relais des 3 Pommes,"Situé à Bayeux en Normandie, l'hôtel Relais des 3 Pommes possède un restaurant, un bar et des chambres avec une salle de bains privative. ",7.4,https://www.booking.com/hotel/fr/le-relais-des-3-pommes.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&nflt=ht_id%3D204&srpvid=813425b7c1340083&srepoch=1635052913&from=searchresults&from_sr_card=1,49.28407529,-0.68937063,1
1,8,Hôtel La Rosière,"L’Hôtel La Rosière vous accueille dans un cadre paisible et verdoyant, à 3 km de la plage du Débarquement. Cet établissement au calme est le pied-à-terre idéal pour visiter la Normandie. ",8.6,https://www.booking.com/hotel/fr/la-rosiere.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id%3D204&srpvid=813425b7c1340083&srepoch=1635052913&from=searchresults&from_sr_card=1,49.32349966,-0.65240979,2
2,6,Hôtel des Pavillons,"Équipé de la climatisation, l'Hôtel des Pavillons vous accueille dans le XVIIe arrondissement de Paris, à 10 minutes à pied du Palais des congrès et des boutiques de luxe des Champs-Élysées. ",8.0,https://www.booking.com/hotel/fr/des-pavillons.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&nflt=ht_id%3D204&srpvid=85f125b75d18007e&srepoch=1635052913&from=searchresults&from_sr_card=1,48.87638311,2.29064338,3
3,8,Au Georges VII,"Situé à Bayeux, à moins de 200 mètres du musée Baron Gérard et à 1 km de la cathédrale Notre-Dame de Bayeux, l'établissement Au Georges VII propose des hébergements avec connexion Wi-Fi gratuite. ",6.6,https://www.booking.com/hotel/fr/au-georges-vii.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&nflt=ht_id%3D204&srpvid=813425b7c1340083&srepoch=1635052913&from=searchresults&from_sr_card=1,49.2769421,-0.7020656,4
4,6,Est Hotel,"L'Est Hotel bénéficie d'un emplacement central, à proximité de la gare de l'Est et de la gare du Nord. Il propose des hébergements abordables et un service chaleureux. ",8.0,https://www.booking.com/hotel/fr/esthotelparis.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id%3D204&srpvid=85f125b75d18007e&srepoch=1635052913&from=searchresults&from_sr_card=1,48.87294001,2.35862732,5
5,6,Novotel Le Havre Centre Gare,Hébergement géré par un particulier,7.6,https://www.booking.com/hotel/fr/novotellehavre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id%3D204&srpvid=7a6225b7144e00cd&srepoch=1635052913&from=searchresults&from_sr_card=1,49.49160831,0.12526989,6
6,6,CALM Appart' & Hostel,"Le Calm Apparthotel vous accueille à Lille, à seulement 2 minutes à pied des stations de métro, de tramway et de train de la gare de Lille-Flandres, ainsi qu'à 10 minutes de marche du centre de...",8.2,https://www.booking.com/hotel/fr/calm-apparthotel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id%3D204&srpvid=c23625b763ef00af&srepoch=1635052913&from=searchresults&from_sr_card=1,50.63734618,3.06945696,7
7,11,ibis Colmar Centre,"L'ibis Colmar Centre est situé à Colmar, à 550 mètres de l'office de tourisme et à moins de 2 km de la gare. Cet hôtel propose une connexion Wi-Fi gratuite. ",8.0,https://www.booking.com/hotel/fr/ibis-colmar-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id%3D204&srpvid=5f4c25b84485009a&srepoch=1635052914&from=searchresults&from_sr_card=1,48.079198,7.363507,8
8,14,Hotel ibis Dijon Centre Clemenceau,L’Hotel ibis Dijon Centre Clemenceau vous propose une réception ouverte 24h/24 ainsi que des hébergements climatisés avec télévision par satellite et connexion Wi-Fi gratuite. ,7.8,https://www.booking.com/hotel/fr/ibis-dijon-centre-clemenceau.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&nflt=ht_id%3D204&srpvid=0ddb25b83fbd004c&srepoch=1635052914&from=searchresults&from_sr_card=1,47.32945016,5.05164027,9
9,14,Kyriad Dijon Est Mirande,"Cet hôtel-restaurant est un établissement fonctionnel situé à l'est de Dijon, à 15 minutes de route de la gare, du parc des expositions et du centre-ville. ",7.5,https://www.booking.com/hotel/fr/kyriad-dijon-est-mirande.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id%3D204&srpvid=0ddb25b83fbd004c&srepoch=1635052914&from=searchresults&from_sr_card=1,47.31154757,5.08031309,10
10,11,B&B Hôtel Colmar Expo,"Doté d'une connexion Wi-Fi dans tout l'établissement et d'un parking privé gratuits, le B&B Hôtel Colmar Expo propose des hébergements à Colmar, à 10 km de Kaysersberg. ",8.2,https://www.booking.com/hotel/fr/b-amp-b-colmar-expo.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&nflt=ht_id%3D204&srpvid=5f4c25b84485009a&srepoch=1635052914&from=searchresults&from_sr_card=1,48.09630283,7.36164164,11
11,14,Appart’City Dijon – Toison D’or,"Situé à 10 minutes du centre de Dijon, dans le parc technologique de la Toison d'Or, l'Appart’City Dijon – Toison D’or propose des appartements de 2 ou 3 chambres avec une connexion Wi-Fi gratuite. ",7.3,https://www.booking.com/hotel/fr/residence-le-clos-des-ducs.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&nflt=ht_id%3D204&srpvid=0ddb25b83fbd004c&srepoch=1635052914&from=searchresults&from_sr_card=1,47.35495715,5.03765523,12
12,18,ibis Lyon Gerland Musée des Confluences,"Installé dans le sud de Lyon, sur les rives du Rhône, à 200 mètres des autoroutes A7 et A6, l’ibis Lyon Gerland Musée des Confluences vous propose une réception ouverte 24h/24, un bar, un restaurant...",7.9,https://www.booking.com/hotel/fr/ibis-lyon-gerland-7eme.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=0&hapos=0&sr_order=popularity&nflt=ht_id%3D204&srpvid=158525b996910015&srepoch=1635052915&from=searchresults&from_sr_card=1,45.73332499,4.82288003,13
13,16,Hôtel du Moulin,"L'Hôtel du Moulin vous invite à séjourner dans une ancienne maison de campagne et moulin à vent provençal, situés à Allemagne-en-Provence. ",7.7,https://www.booking.com/hotel/fr/du-moulin.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&nflt=ht_id%3D204&srpvid=11c225b94277002c&srepoch=1635052915&from=searchresults&from_sr_card=1,43.78260534,6.01006866,14
14,19,Hôtel Tamaris,"Situé juste en face de la plage, l'Hôtel Tamaris se trouve à 5 minutes en voiture du centre du Lavandou. ",8.8,https://www.booking.com/hotel/fr/ha-tel-tamaris.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id%3D204&srpvid=e7ee25b97ab3002c&srepoch=1635052915&from=searchresults&from_sr_card=1,43.14341162,6.38237004,15
15,11,Hôtel Quatorze,L'Hôtel Quatorze est un établissement design situé dans le centre de Colmar. Il propose gratuitement une connexion Wi-Fi ainsi qu'un accès privé d'une heure au sauna et au hammam du spa. ,8.3,https://www.booking.com/hotel/fr/quatorze.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&nflt=ht_id%3D204&srpvid=5f4c25b84485009a&srepoch=1635052914&from=searchresults&from_sr_card=1,48.0762385,7.35644773,16
16,20,Les Lavandes,"L'établissement Les Lavandes est situé dans le centre de La Ciotat, à 600 mètres du port et des plages, ainsi qu'à proximité des falaises des Calanques. ",7.2,https://www.booking.com/hotel/fr/hotel-les-lavandes.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&nflt=ht_id%3D204&srpvid=577c25b9311d00e6&srepoch=1635052916&from=searchresults&from_sr_card=1,43.17682741,5.60660943,17
