result,odds_home,odds_draw,odds_away,home_wins,home_draws,home_losses,home_goals,home_opposition_goals,home_shots,home_shots_on_target,home_opposition_shots,home_opposition_shots_on_target,away_wins,away_draws,away_losses,away_goals,away_opposition_goals,away_shots,away_shots_on_target,away_opposition_shots,away_opposition_shots_on_target
2,1.65,3.6,5.5,9,1,0,22,5,184,74,92,22,8,0,2,19,9,142,57,123,36
1,1.44,4.33,7.0,3,2,5,12,12,165,56,118,40,3,1,6,9,16,110,36,131,43
0,2.25,3.2,3.3,2,1,7,11,16,132,40,137,59,3,4,3,13,15,120,40,154,55
1,2.4,3.2,3.0,3,3,4,11,16,123,39,160,60,6,1,3,16,11,141,51,112,42
0,1.5,4.0,7.0,7,1,2,15,6,133,47,121,28,2,5,3,11,9,123,42,118,30
1,3.4,3.1,2.25,2,2,6,6,17,110,42,163,68,4,3,3,14,14,138,42,123,51
2,2.2,3.2,3.4,3,2,5,12,14,106,29,156,52,4,2,4,8,12,114,32,163,52
1,2.15,3.25,3.4,2,3,5,11,14,80,27,136,57,2,3,5,10,14,112,42,160,48
2,8.5,4.75,1.36,3,2,5,8,14,106,40,168,67,8,1,1,21,8,183,75,102,23
1,3.25,3.25,2.25,5,2,3,10,12,119,32,165,53,8,0,2,19,10,144,57,124,38
0,2.38,3.1,3.1,2,1,7,8,21,112,36,147,50,3,5,2,13,14,124,40,137,49
2,3.8,3.3,2.0,1,3,6,8,15,107,41,149,46,6,2,2,13,7,133,46,115,26
2,2.0,3.25,4.0,4,2,4,17,12,162,58,116,40,5,3,2,14,7,147,47,87,27
1,2.1,3.25,3.6,1,5,4,9,14,137,50,144,53,2,2,6,12,16,111,31,148,49
0,1.75,3.4,5.0,4,3,3,14,14,151,42,117,48,3,2,5,12,14,81,29,138,59
1,2.0,3.1,4.2,2,5,3,12,10,125,45,125,32,2,2,6,12,15,134,41,142,58
0,1.5,4.2,6.5,8,1,1,23,8,186,74,111,28,5,1,4,15,17,135,52,120,46
0,1.83,3.5,4.2,6,2,2,15,8,148,54,113,28,3,2,5,15,14,156,53,110,41
1,2.2,3.2,3.4,2,2,6,11,13,130,38,135,55,2,5,3,11,11,147,56,133,51
1,1.83,3.4,4.5,3,3,4,10,12,116,35,150,56,2,2,6,10,21,115,37,146,51
1,1.57,3.75,6.0,6,3,1,16,6,140,48,93,27,6,1,3,12,13,125,32,157,53
1,2.38,3.0,3.2,1,2,7,10,17,109,30,158,54,1,3,6,8,16,105,40,149,50
1,1.73,3.4,5.25,3,3,4,11,12,80,28,145,61,3,2,5,9,17,124,46,176,67
0,2.1,3.2,3.6,3,6,1,14,12,124,43,133,44,3,4,3,12,14,159,46,111,46
1,2.4,3.2,3.0,2,4,4,10,13,148,54,140,55,4,3,3,12,11,123,35,146,51
2,1.8,3.4,4.75,5,1,4,12,17,122,30,163,54,1,3,6,8,16,115,43,142,49
0,2.05,3.25,3.75,2,2,6,10,20,115,37,149,49,4,2,4,10,10,82,27,153,61
1,3.2,3.25,2.25,3,3,4,17,15,167,51,112,42,7,2,1,20,7,188,73,103,24
1,2.3,3.1,3.3,1,2,7,10,16,111,29,166,55,2,2,6,11,11,134,40,129,49
0,3.2,3.1,2.3,2,5,3,10,10,116,40,152,38,6,3,1,18,7,148,49,92,25
1,2.8,3.25,2.5,3,5,2,13,13,152,48,109,43,7,1,2,20,12,155,61,134,44
1,1.91,3.4,4.0,4,2,4,12,16,128,46,130,48,3,6,1,14,12,125,42,133,45
2,3.2,3.25,2.25,4,2,4,13,14,130,42,148,55,4,3,3,17,13,168,53,110,36
1,1.33,5.0,9.0,6,2,2,18,8,174,66,112,28,2,5,3,11,11,112,42,151,38
1,2.25,3.2,3.25,2,1,7,10,11,124,34,130,48,4,1,5,11,18,128,34,158,54
0,1.44,4.2,7.5,6,3,1,19,8,151,50,89,26,2,1,7,10,15,109,30,165,55
2,2.1,3.25,3.6,1,3,6,8,16,114,42,135,48,2,3,5,10,18,115,35,130,41
